"","status_id","conversation_id","user_id","in_reply_to_user_id","is_retweet","retweet_user_id","quoted_user_id","created_at","text","lang","like_count","quote_count","reply_count","retweet_count","reply_settings","possibly_sensitive","impression_count","following_count","bookmark_count","quoted_text","media_type","verified","entities_normalizes_text","entities_probability","entities_type","entity_description","entity_id","entity_name"
"983","1521922613307756544","1521922613307756544","30354991",NA,0,NA,NA,"2022-05-04T18:40:01.000Z","How dare Republicans try to deny women their rights and freedoms.
https://t.co/kzNnpxJwls","en",12336,298,1668,2121,"everyone",FALSE,0,725,51,NA,"video",TRUE,NA,NA,NA,"US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician,Politics,Political issues","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656,847878884917886977,900740740468191232","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures,Politics,Political issues"
"984","1527790026637119490","1527790026637119490","30354991",NA,0,NA,NA,"2022-05-20T23:15:01.000Z","Every single American has a role to play in bettering our nation. As I said to the Cadets at the U.S. Coast Guard Academy, they will work together as a unit and help ensure the American people's safety, security, and prosperity. https://t.co/TkN94IV8Jl","en",3393,29,295,391,"everyone",FALSE,0,725,6,NA,"photo",TRUE,"Cadets,U.S. Coast Guard Academy","0.3617,0.4815","Other,Place","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),United States Coast Guard,Politics,US Senator Kamala Harris (CA),United States Coast Guard,Political Body,Politician","875006493984149509,875006493984149509,942902667013058561,847878884917886977,875006493984149509,942902667013058561,1068583660914266113,1070032753834438656","Kamala Harris,Kamala Harris,United States Coast Guard,Politics,Kamala Harris,United States Coast Guard,Government institutions,Political figures"
"985","1531717151081517058","1531717151081517058","30354991",NA,0,NA,NA,"2022-05-31T19:20:01.000Z","Since January of last year, the economy has added more than 8 million jobs. Businesses have reopened their doors. Schools are back in person. And, while there is more work to be done, we have made real progress in getting our economy back on track.","en",4454,116,1065,618,"everyone",FALSE,0,725,9,NA,NA,TRUE,NA,NA,NA,"US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,1220701888179359745,847878884917886977,875006493984149509,1070032753834438656,1220701888179359745,1407811550987972617","Kamala Harris,Kamala Harris,COVID-19,Politics,Kamala Harris,Political figures,COVID-19,Industries"
"986","1529505330270445569","1529505330270445569","30354991",NA,0,NA,NA,"2022-05-25T16:51:02.000Z","Our hearts break for the people of Uvalde. Enough is enough. As a nation, we must have the courage to stand up to the gun lobby and fight for sensible gun safety laws to ensure nothing like this happens again. https://t.co/UATBzMwDHK","en",5068,100,787,753,"everyone",FALSE,0,725,16,NA,"video",TRUE,"Uvalde","0.8752","Place","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"987","1527771161559547905","1527771161559547905","30354991",NA,0,NA,NA,"2022-05-20T22:00:04.000Z","The strength of our country has always been that we fight to move forward. We believe in the expansion of rights, not the restriction of rights.

We cannot go backward. https://t.co/KLzAfw3y6j","en",2905,51,378,588,"everyone",FALSE,0,725,14,NA,"video",TRUE,NA,NA,NA,"US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"988","1529118782525956096","1529118782525956096","30354991",NA,0,NA,NA,"2022-05-24T15:15:02.000Z","Every day, more than 25 million children ride to and from school on buses that run on diesel fuel.

The investments of the Bipartisan Infrastructure Law are beginning to change that by electrifying our nation’s school bus fleet.","en",4191,50,574,523,"everyone",FALSE,0,725,7,NA,NA,TRUE,"Bipartisan Infrastructure Law","0.7743","Other","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"989","1533140527008342016","1533140527008342016","30354991",NA,0,NA,NA,"2022-06-04T17:36:00.000Z","When women are supported and heard—whether in the courtroom, workplace, government halls, or at the ballot box—democracy is more complete.

Without a doubt, gender equality strengthens democracy.","en",9133,85,683,1283,"everyone",FALSE,0,725,7,NA,NA,TRUE,NA,NA,NA,"US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician,Politics,Political issues","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656,847878884917886977,900740740468191232","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures,Politics,Political issues"
"990","1528069111057682434","1528069111057682434","30354991",NA,0,NA,NA,"2022-05-21T17:44:00.000Z","A harm against any one of us is harm against all of us. 

Hate and violence have no place here in America, and we are all in this together as one nation undivided.","en",9277,180,1866,1269,"everyone",FALSE,0,725,15,NA,NA,TRUE,"America","0.9441","Place","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
"991","1530314909048782849","1530314909048782849","30354991",NA,0,NA,NA,"2022-05-27T22:28:00.000Z","President Biden and I are fighting to transform how mental health is understood, perceived, and treated for all Americans—including our health workers.  https://t.co/Uqy3kOZj6Q","en",2854,64,625,477,"everyone",FALSE,0,725,15,NA,"video",TRUE,"Biden","0.9241","Person","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician,US President Joe Biden,US President Joe Biden,US President Joe Biden,Politics,Politician","875006493984149509,875006493984149509,1220701888179359745,847878884917886977,875006493984149509,1070032753834438656,1220701888179359745,10040395078,10040395078,10040395078,847878884917886977,1070032753834438656","Kamala Harris,Kamala Harris,COVID-19,Politics,Kamala Harris,Political figures,COVID-19,Joe Biden,Joe Biden,Joe Biden,Politics,Political figures"
"992","1532800034718289925","1532800034718289925","30354991",NA,0,NA,NA,"2022-06-03T19:03:00.000Z","Thanks to the Bipartisan Infrastructure Law, we are on a path to start removing every lead pipe in our country and improve water efficiency in communities across our nation. https://t.co/IfgnhZxUz8","en",2148,35,235,340,"everyone",FALSE,0,725,13,NA,"video",TRUE,"Bipartisan Infrastructure Law","0.7086","Other","US Senator Kamala Harris (CA),US Senator Kamala Harris (CA),Politics,US Senator Kamala Harris (CA),Politician","875006493984149509,875006493984149509,847878884917886977,875006493984149509,1070032753834438656","Kamala Harris,Kamala Harris,Politics,Kamala Harris,Political figures"
